Date,AAPL,AXP,BA,CAT,CSCO,CVX,DIS,DOW,GS,HD,IBM,INTC,JNJ,JPM,KO,MCD,MMM,MRK,MSFT,NKE,PFE,PG,RTX,TRV,UNH,V,VZ,WBA,WMT,XOM
2020-02-12,326.316681,132.503967,345.39502,138.320099,49.461052,109.143303,141.850006,48.577076,237.199692,239.98439,153.254669,67.081078,149.099075,136.580734,58.893501,216.107635,160.735764,82.567894,183.695251,102.715019,37.367599,122.632164,96.342949,134.818604,302.171112,206.793747,57.610424,53.3927,114.834511,60.10461
2020-02-11,318.747131,131.897339,342.382935,134.951035,48.668564,108.334763,141.009995,47.99667,235.02301,240.034073,151.448883,67.031357,149.987244,136.580734,59.071938,214.388397,159.411011,84.551506,183.426743,99.743263,37.714146,123.337463,96.386414,136.477631,289.535858,203.304642,58.065529,51.941971,114.388458,59.378685
2020-02-10,320.681915,131.509491,342.63147,133.098053,48.411003,106.951477,142.589996,47.406422,235.917542,239.01091,152.386307,66.017082,149.858948,136.32341,59.230545,211.884079,157.154037,84.958153,187.66333,99.743263,37.436909,125.334145,97.193512,135.325256,285.792053,205.348267,59.599041,52.363461,114.239769,58.819527
2020-02-07,319.166016,131.091812,334.758301,132.156677,47.519459,106.123451,141.020004,47.249023,236.55365,235.722916,151.379822,65.649162,149.88855,135.759262,58.675411,210.294022,157.085358,84.382904,182.879761,99.164871,37.674538,125.244743,97.367355,135.116623,287.972626,202.108398,59.302227,52.187027,115.429253,59.447357
2020-02-06,323.564117,132.513901,339.410614,136.001389,48.232697,106.659225,142.699997,48.400002,240.350433,237.25267,153.086914,66.71315,151.506927,136.194748,58.477154,211.546173,159.842789,84.977989,182.621201,99.992569,37.882465,126.297722,96.976219,135.603409,291.198639,202.407455,58.807549,52.432079,115.290482,59.843864
2020-02-05,319.823181,132.861984,327.600861,136.189667,47.994953,107.428802,141.369995,48.803333,242.815369,236.527527,152.666992,66.633598,151.960876,136.174942,58.338367,213.03685,159.293259,85.126762,178.911682,100.261826,37.793354,125.969902,96.622337,135.881561,294.454559,202.178162,58.500851,51.932167,115.786095,60.665894
2020-02-04,317.236298,131.121643,316.05954,132.29541,47.172745,104.087486,144.729996,47.2687,240.469711,233.438202,145.616165,64.773323,149.602386,133.89859,58.328457,213.285294,154.298477,87.636032,179.130478,101.099503,37.318092,124.82753,94.98951,131.709152,279.628754,202.925827,57.669788,51.304825,114.25959,57.996712
2020-02-03,307.0979,130.276337,314.131012,128.589447,46.092983,103.532219,141.320007,45.980003,237.55751,230.00119,142.842712,63.744232,148.191208,131.998352,58.070717,213.841812,153.660645,86.624382,173.422012,98.995338,37.139866,124.281166,93.095924,132.732391,272.838165,200.184402,57.432339,49.942314,113.268364,58.731701
2020-01-31,307.943604,129.152573,316.387573,130.155075,45.538246,104.369987,138.309998,45.320896,236.305161,226.584061,140.362228,63.259373,146.90834,130.998734,57.892284,212.639343,155.69191,84.739952,169.2948,96.033562,36.872536,123.794418,93.251137,130.755463,271.274963,198.350143,58.807549,49.844292,113.486435,60.075966
2020-01-30,322.230896,132.48407,321.387817,134.138489,46.796318,108.519852,137.809998,47.681873,242.646393,231.242874,133.565308,65.772728,148.378708,134.492432,58.348282,214.835587,159.469894,85.791267,171.830795,97.918335,36.704208,125.115601,95.610352,133.318512,279.768158,207.56134,58.728401,50.922539,115.558113,62.658112
